set,attribute,score
174,Modeller,2.5
175,Technologist,6.4
175,Programmer,5.4
175,Data Wrangler,4.5
175,Modeller,3.4
175,Visualiser,3
175,Communicator,2.7
176,Modeller,5.8
176,Technologist,4.6
176,Data Wrangler,4.2
176,Communicator,3.7
176,Programmer,3
176,Visualiser,1.4
177,Modeller,5.2
177,Visualiser,4.5
177,Programmer,4
177,Communicator,3.6
177,Data Wrangler,3.2
177,Technologist,2
178,Communicator,5.8
178,Data Wrangler,4.5
178,Technologist,4
178,Programmer,3.7
178,Modeller,3
178,Visualiser,1.8
179,Visualiser,5.1
179,Technologist,4.6
179,Modeller,3.6
179,Communicator,3.1
179,Programmer,2.5
179,Data Wrangler,2.3
180,Technologist,4.2
180,Data Wrangler,3.6
180,Programmer,3.4
180,Visualiser,3.1
180,Modeller,2.4
180,Communicator,2
181,Visualiser,5.8
181,Data Wrangler,4.8
181,Technologist,4.6
181,Communicator,3.1
181,Programmer,2.5
181,Modeller,1.8
182,Communicator,6
182,Technologist,4.6
182,Modeller,3.4
182,Data Wrangler,2.9
182,Programmer,2.7
182,Visualiser,2.5
183,Technologist,6.2
183,Programmer,5.2
183,Visualiser,5
183,Modeller,4.3
183,Data Wrangler,3.4
183,Communicator,2.1
184,Data Wrangler,5.6
184,Technologist,5.1
184,Communicator,4
184,Modeller,2.9
184,Programmer,2.1
184,Visualiser,1.5
185,Data Wrangler,5.1
185,Visualiser,4.5
185,Programmer,3.4
185,Technologist,3.2
185,Communicator,1.9
185,Modeller,1.4
186,Communicator,3.4
186,Technologist,3.2
186,Data Wrangler,3
186,Modeller,2.5
186,Programmer,2.4
186,Visualiser,2.1
187,Technologist,5.2
187,Modeller,4.6
187,Communicator,4.1
187,Data Wrangler,3.9
187,Programmer,2.1
187,Visualiser,2
188,Technologist,5.4
188,Modeller,4.6
188,Communicator,3.8
188,Data Wrangler,2.8
188,Visualiser,2.6
188,Programmer,2
189,Modeller,5.8
189,Visualiser,3.9
189,Programmer,3.6
189,Technologist,2.5
189,Data Wrangler,2.2
189,Communicator,1
190,Communicator,6
190,Modeller,5.3
190,Programmer,4.8
190,Technologist,3.4
190,Visualiser,3
190,Data Wrangler,2.6
191,Communicator,5.2
191,Programmer,4.6
191,Data Wrangler,3.9
191,Visualiser,3.3
191,Technologist,2.7
191,Modeller,2
192,Modeller,4.8
192,Programmer,4.3
192,Technologist,3.8
192,Data Wrangler,2.9
192,Visualiser,2.1
192,Communicator,1.7
193,Technologist,5.4
193,Visualiser,4.8
193,Communicator,4.3
193,Programmer,3.7
193,Data Wrangler,2.7
193,Modeller,2.1
194,Communicator,5.6
194,Technologist,4.8
194,Data Wrangler,3.2
194,Modeller,2.5
194,Visualiser,2.3
194,Programmer,1.8
195,Visualiser,5.2
195,Data Wrangler,4.4
195,Modeller,3.8
195,Programmer,3.1
195,Technologist,2.8
195,Communicator,2.5
196,Data Wrangler,5.4
196,Programmer,4.4
196,Visualiser,3.8
196,Technologist,3.3
196,Modeller,2.7
196,Communicator,1.8
197,Data Wrangler,5.3
197,Modeller,4.6
197,Visualiser,4.1
197,Communicator,3.6
197,Programmer,2.3
197,Technologist,1.7
198,Modeller,6.2
198,Visualiser,4.1
198,Technologist,3.8
198,Communicator,3.2
198,Programmer,3
198,Data Wrangler,2.7
199,Communicator,6.4
199,Data Wrangler,4.8
199,Visualiser,4.1
199,Programmer,3.7
