set,attribute,score
5690,Technologist,3
5690,Modeller,2.1
5691,Technologist,5.5
5691,Modeller,5.1
5691,Visualiser,4.1
5691,Communicator,3.2
5691,Data Wrangler,2.9
5691,Programmer,2.5
5692,Communicator,5.2
5692,Data Wrangler,4.8
5692,Technologist,4.3
5692,Visualiser,3.7
5692,Modeller,2.9
5692,Programmer,2
5693,Technologist,5.8
5693,Programmer,4.9
5693,Modeller,4
5693,Data Wrangler,2.9
5693,Communicator,2.6
5693,Visualiser,2.1
5694,Visualiser,6.3
5694,Data Wrangler,5.4
5694,Communicator,4.7
5694,Modeller,3.7
5694,Programmer,3.5
5694,Technologist,3.1
5695,Data Wrangler,5.1
5695,Technologist,4
5695,Modeller,3.4
5695,Programmer,3.2
5695,Communicator,2.9
5695,Visualiser,1.1
5696,Data Wrangler,5.2
5696,Technologist,4.8
5696,Programmer,4.1
5696,Communicator,3.2
5696,Modeller,3
5696,Visualiser,2.8
5697,Visualiser,5.5
5697,Programmer,4.2
5697,Communicator,3.6
5697,Modeller,3.1
5697,Data Wrangler,2.8
5697,Technologist,2
5698,Modeller,5.8
5698,Technologist,5.2
5698,Communicator,4.9
5698,Data Wrangler,4.1
5698,Visualiser,3
5698,Programmer,2.5
5699,Data Wrangler,4.4
5699,Programmer,4.2
5699,Communicator,3.6
5699,Visualiser,3.1
5699,Technologist,2.6
5699,Modeller,1.8
5700,Modeller,5.6
5700,Communicator,4.9
5700,Programmer,4.7
5700,Data Wrangler,3.7
5700,Technologist,3.4
5700,Visualiser,1.9
5701,Data Wrangler,5
5701,Programmer,4.8
5701,Modeller,4.3
5701,Communicator,3.4
5701,Technologist,2.8
5701,Visualiser,1.9
5702,Modeller,5
5702,Visualiser,4.5
5702,Technologist,3.7
5702,Communicator,3.4
5702,Programmer,3.1
5702,Data Wrangler,2.3
5703,Technologist,4.9
5703,Modeller,4.6
5703,Programmer,3.5
5703,Data Wrangler,3.2
5703,Visualiser,2.9
5703,Communicator,2
5704,Visualiser,5
5704,Modeller,4
5704,Data Wrangler,3.6
5704,Programmer,3.4
5704,Technologist,2.6
5704,Communicator,2.3
5705,Visualiser,5.3
5705,Data Wrangler,4.6
5705,Communicator,3.2
5705,Technologist,2.9
5705,Programmer,2.2
5705,Modeller,1.2
5706,Modeller,5.4
5706,Data Wrangler,4.9
5706,Visualiser,4.7
5706,Communicator,3.9
5706,Technologist,3.3
5706,Programmer,2.2
5707,Technologist,6.2
5707,Modeller,4.4
5707,Data Wrangler,3.9
5707,Communicator,3.6
5707,Visualiser,2.4
5707,Programmer,2
5708,Modeller,5.4
5708,Visualiser,5
5708,Data Wrangler,4.1
5708,Communicator,3.2
5708,Technologist,2.9
5708,Programmer,1.7
5709,Data Wrangler,5.1
5709,Modeller,3.6
5709,Communicator,3.2
5709,Visualiser,3
5709,Technologist,2.6
5709,Programmer,1.9
5710,Modeller,5.8
5710,Technologist,4.4
5710,Visualiser,4
5710,Programmer,3.1
5710,Communicator,2.9
5710,Data Wrangler,2.3
5711,Visualiser,3.7
5711,Modeller,3.4
5711,Data Wrangler,3
5711,Programmer,2.8
5711,Technologist,2.6
5711,Communicator,1.5
5712,Programmer,4.7
5712,Visualiser,4.5
5712,Technologist,3.3
5712,Data Wrangler,2.4
5712,Communicator,1.6
5712,Modeller,0.8
5713,Programmer,6
5713,Communicator,4.6
5713,Technologist,3.7
5713,Visualiser,3.5
5713,Data Wrangler,3
5713,Modeller,2
5714,Visualiser,4.7
5714,Data Wrangler,4.2
5714,Communicator,3.4
5714,Programmer,3.1
5714,Modeller,2.7
5714,Technologist,1.7
5715,Modeller,6.4
5715,Visualiser,3.7
5715,Programmer,3.1
5715,Technologist,2.8
5715,Data Wrangler,2.4
5715,Communicator,2
5716,Visualiser,5.3
5716,Data Wrangler,4.9
5716,Modeller,4
5716,Technologist,3.1
5716,Communicator,2.9
5716,Programmer,2.5
5717,Data Wrangler,5.3
5717,Modeller,4
5717,Communicator,3.4
5717,Technologist,3.2
5717,Visualiser,2.3
5717,Programmer,2
5718,Technologist,6.1
5718,Programmer,4.1
5718,Visualiser,3.6
5718,Modeller,3.2
5718,Data Wrangler,2.3
5718,Communicator,1.8
5719,Communicator,5.8
5719,Programmer,5.4
5719,Data Wrangler,4.8
5719,Modeller,4.4
5719,Technologist,2.6
5719,Visualiser,1.8
5720,Technologist,5.7
5720,Visualiser,5.2
5720,Communicator,3.2
5720,Programmer,2.9
5720,Modeller,2.6
5720,Data Wrangler,1.8
5721,Data Wrangler,5.1
5721,Modeller,4.8
5721,Communicator,4.1
5721,Technologist,3.5
5721,Visualiser,2.6
5721,Programmer,1.7
5722,Communicator,6.6
5722,Programmer,4.8
5722,Technologist,4.1
5722,Modeller,3.7
5722,Visualiser,3
5722,Data Wrangler,2.5
5723,Visualiser,5.5
5723,Modeller,4.9
5723,Programmer,4.2
5723,Technologist,4
5723,Data Wrangler,3.5
5723,Communicator,2.8
5724,Modeller,5.2
5724,Communicator,4.6
5724,Visualiser,3.8
5724,Technologist,3.3
5724,Programmer,2.6
5724,Data Wrangler,2.3
5725,Visualiser,6.2
5725,Modeller,4.6
5725,Data Wrangler,4.2
5725,Technologist,3.8
5725,Programmer,3.5
5725,Communicator,2.4
5726,Visualiser,5.6
5726,Data Wrangler,5
5726,Technologist,3.8
5726,Communicator,3.2
5726,Programmer,1.8
5726,Modeller,1
5727,Communicator,5
5727,Modeller,4.8
5727,Programmer,4
5727,Data Wrangler,3.7
5727,Visualiser,2.9
5727,Technologist,2.5
5728,Data Wrangler,5.1
5728,Technologist,4.5
5728,Modeller,3.8
5728,Visualiser,3.5
5728,Communicator,3.2
5728,Programmer,2
5729,Communicator,6
5729,Data Wrangler,5.5
5729,Visualiser,4.3
5729,Modeller,3.7
5729,Programmer,3.1
5729,Technologist,2.2
5730,Data Wrangler,5.9
5730,Programmer,5
5730,Modeller,3.4
5730,Visualiser,3.1
5730,Communicator,1.9
5730,Technologist,1.5
5731,Modeller,5
5731,Communicator,3.8
5731,Technologist,3.4
5731,Visualiser,2.9
5731,Data Wrangler,2.3
5731,Programmer,1.7
5732,Programmer,5.5
5732,Communicator,4.4
5732,Data Wrangler,3.9
5732,Technologist,3.5
5732,Visualiser,3
5732,Modeller,2.1
5733,Data Wrangler,6
5733,Modeller,4.8
5733,Programmer,4
5733,Technologist,3.7
5733,Visualiser,3
5733,Communicator,2.4
5734,Modeller,5.6
5734,Programmer,4.6
5734,Technologist,3.9
5734,Data Wrangler,3.6
5734,Visualiser,3
5734,Communicator,2.4
5735,Visualiser,5.7
5735,Communicator,4.9
5735,Data Wrangler,4.6
5735,Technologist,4.3
5735,Programmer,3.6
5735,Modeller,2.1
5736,Data Wrangler,4.4
5736,Modeller,4
5736,Technologist,3.1
5736,Communicator,2.7
5736,Programmer,1.8
5736,Visualiser,1.6
5737,Data Wrangler,5.8
5737,Communicator,4.4
5737,Technologist,4.1
5737,Modeller,3.7
5737,Programmer,2.7
5737,Visualiser,2.5
5738,Modeller,5
5738,Technologist,4.8
5738,Programmer,4.4
5738,Data Wrangler,3.8
5738,Communicator,3.4
5738,Visualiser,1.7
5739,Modeller,5.2
5739,Technologist,3.8
5739,Visualiser,3.3
5739,Communicator,2.7
5739,Data Wrangler,2.6
5739,Programmer,2.4
5740,Programmer,5.3
5740,Visualiser,4.4
5740,Technologist,3.8
5740,Data Wrangler,3.2
5740,Modeller,2.6
5740,Communicator,1.2
5741,Data Wrangler,5.6
5741,Technologist,3.9
5741,Modeller,3.1
5741,Visualiser,2.9
5741,Communicator,2.6
5741,Programmer,2.3
5742,Data Wrangler,4
5742,Visualiser,3.1
5742,Technologist,2.8
5742,Programmer,2.5
5742,Modeller,2.2
5742,Communicator,1.8
5743,Technologist,6.1
5743,Data Wrangler,5.2
5743,Communicator,4.3
5743,Programmer,3.7
5743,Modeller,2.6
5743,Visualiser,2.3
5744,Technologist,6.7
5744,Communicator,5.1
5744,Modeller,4.3
5744,Data Wrangler,3.7
5744,Programmer,2.3
5744,Visualiser,1.2
5745,Technologist,6.5
5745,Communicator,4.6
5745,Programmer,4.2
5745,Visualiser,3.4
5745,Data Wrangler,3
5745,Modeller,2.4
5746,Visualiser,4.8
5746,Technologist,4.4
5746,Programmer,4
5746,Data Wrangler,3.6
5746,Modeller,3.4
5746,Communicator,1.5
5747,Communicator,4.2
5747,Modeller,3.8
5747,Programmer,3.6
5747,Technologist,3.2
5747,Data Wrangler,2.6
5747,Visualiser,2.4
5748,Communicator,5.8
5748,Modeller,3.2
5748,Technologist,3.1
5748,Programmer,2.5
5748,Visualiser,2.3
5748,Data Wrangler,1.7
5749,Data Wrangler,5.8
5749,Visualiser,5.1
5749,Communicator,4.7
5749,Programmer,4.2
5749,Technologist,3.9
5749,Modeller,2.4
5750,Data Wrangler,5.1
5750,Communicator,4.6
5750,Modeller,4
5750,Visualiser,3.1
5750,Technologist,2.8
5750,Programmer,2.3
5751,Technologist,4.3
5751,Programmer,4
5751,Visualiser,3.4
5751,Communicator,2.9
5751,Modeller,2.7
5751,Data Wrangler,1.6
5752,Modeller,4.8
5752,Communicator,4.2
5752,Data Wrangler,3.7
5752,Visualiser,3.3
5752,Programmer,3
5752,Technologist,2.1
5753,Communicator,5.8
5753,Modeller,4.4
5753,Technologist,3.4
5753,Visualiser,2.8
5753,Programmer,2.4
5753,Data Wrangler,2.2
5754,Modeller,5.6
5754,Programmer,5.3
5754,Communicator,4.1
5754,Data Wrangler,3.7
5754,Technologist,2.6
5754,Visualiser,2.3
5755,Modeller,4
5755,Technologist,3.7
5755,Communicator,3.2
5755,Programmer,3
5755,Data Wrangler,2.2
5755,Visualiser,1.6
5756,Data Wrangler,5.4
5756,Technologist,4.9
5756,Modeller,4.5
5756,Visualiser,4
5756,Programmer,3.7
5756,Communicator,2.1
5757,Programmer,6.3
5757,Communicator,5.1
5757,Data Wrangler,4.3
5757,Visualiser,3.4
5757,Technologist,3
5757,Modeller,1.5
5758,Data Wrangler,5.2
5758,Technologist,4.8
5758,Communicator,3.8
5758,Visualiser,3.6
5758,Programmer,3.1
5758,Modeller,2.7
5759,Data Wrangler,4.9
5759,Visualiser,4
5759,Programmer,3.5
5759,Communicator,2.9
5759,Modeller,2.4
5759,Technologist,2
5760,Visualiser,5.4
5760,Programmer,4.4
5760,Technologist,4
5760,Communicator,3.2
5760,Modeller,3
5760,Data Wrangler,1.8
5761,Communicator,5
5761,Programmer,4.7
5761,Modeller,3.8
5761,Technologist,3.1
5761,Data Wrangler,1.8
5761,Visualiser,1.4
5762,Programmer,5.8
5762,Technologist,4.8
5762,Data Wrangler,4
5762,Modeller,3.6
5762,Visualiser,1.8
5762,Communicator,1.5
5763,Data Wrangler,5.1
5763,Visualiser,4.4
5763,Technologist,3.8
5763,Programmer,3.4
5763,Modeller,3
5763,Communicator,2.3
5764,Modeller,5
5764,Communicator,4.6
5764,Programmer,3.8
5764,Visualiser,3.5
5764,Technologist,3.1
5764,Data Wrangler,2.8
5765,Visualiser,4.2
5765,Communicator,3.2
5765,Modeller,2.9
5765,Programmer,2.6
5765,Data Wrangler,2.2
5765,Technologist,1.7
5766,Modeller,4.8
5766,Technologist,4.4
5766,Visualiser,3.8
5766,Programmer,3.3
5766,Communicator,2.7
5766,Data Wrangler,1.5
5767,Technologist,5
5767,Data Wrangler,4
5767,Visualiser,3.7
5767,Communicator,3.2
5767,Programmer,2.2
5767,Modeller,1.8
5768,Data Wrangler,5.5
5768,Programmer,4.8
5768,Modeller,4.1
5768,Communicator,3.7
5768,Visualiser,2.7
5768,Technologist,2.1
5769,Programmer,5
5769,Visualiser,4.6
5769,Data Wrangler,3.8
5769,Modeller,3.4
5769,Communicator,2.7
5769,Technologist,2.5
5770,Programmer,5.3
5770,Technologist,4.1
5770,Data Wrangler,2.9
5770,Modeller,2.5
5770,Communicator,2.1
5770,Visualiser,1.9
5771,Programmer,6
5771,Data Wrangler,5
5771,Modeller,4.7
5771,Technologist,3.8
5771,Communicator,3.4
5771,Visualiser,2.9
5772,Data Wrangler,4.8
5772,Communicator,4.2
5772,Visualiser,3.3
5772,Technologist,2.9
5772,Programmer,2.2
5772,Modeller,1.8
5773,Programmer,5.5
5773,Technologist,4.9
5773,Communicator,4.5
5773,Visualiser,4
5773,Modeller,3.5
5773,Data Wrangler,2
5774,Data Wrangler,5.5
5774,Technologist,4.7
5774,Visualiser,4.1
5774,Communicator,3.7
5774,Programmer,2.6
5774,Modeller,1.2
5775,Technologist,5.4
5775,Visualiser,4.8
5775,Communicator,3.8
5775,Modeller,3.1
5775,Programmer,2.7
5775,Data Wrangler,1.8
5776,Modeller,5.2
5776,Visualiser,4.8
5776,Technologist,4.1
5776,Data Wrangler,3.5
5776,Communicator,3.2
5776,Programmer,2.5
5777,Modeller,5.6
5777,Visualiser,4.3
5777,Communicator,3.6
5777,Data Wrangler,3.1
5777,Programmer,2.9
5777,Technologist,2.3
5778,Communicator,6
5778,Technologist,5.7
5778,Modeller,4.9
5778,Programmer,3.4
5778,Data Wrangler,3.1
5778,Visualiser,2.3
5779,Data Wrangler,5.2
5779,Visualiser,4.5
5779,Communicator,4
5779,Programmer,3.1
5779,Modeller,2.2
5779,Technologist,1.7
5780,Programmer,5.4
5780,Communicator,4.8
5780,Visualiser,4
5780,Data Wrangler,3.6
5780,Modeller,2.4
5780,Technologist,1.9
5781,Visualiser,5.7
5781,Data Wrangler,3.2
5781,Modeller,3.1
5781,Communicator,2.7
5781,Technologist,2.4
5781,Programmer,0.9
5782,Technologist,5.4
5782,Data Wrangler,3.8
5782,Modeller,3.2
5782,Programmer,3
5782,Communicator,2.6
5782,Visualiser,2.2
5783,Modeller,5.4
5783,Visualiser,4.9
5783,Data Wrangler,4.3
5783,Technologist,3.5
5783,Communicator,2.9
5783,Programmer,2.5
5784,Communicator,6.2
5784,Data Wrangler,4
5784,Modeller,3.8
5784,Programmer,3.6
5784,Technologist,3.1
5784,Visualiser,2
5785,Modeller,4.2
5785,Technologist,3.3
5785,Communicator,3.1
5785,Data Wrangler,2.9
5785,Visualiser,2.3
5785,Programmer,1.8
5786,Technologist,5.2
5786,Communicator,4.2
5786,Data Wrangler,3.5
5786,Programmer,3.1
5786,Visualiser,2.7
5786,Modeller,2.3
5787,Programmer,5.7
5787,Modeller,4.8
5787,Technologist,3.3
5787,Data Wrangler,2.5
5787,Communicator,2.2
5787,Visualiser,2.1
5788,Modeller,5.2
5788,Visualiser,4.8
5788,Technologist,3.9
5788,Programmer,2.5
5788,Data Wrangler,2.3
5788,Communicator,1.8
5789,Data Wrangler,4.8
5789,Technologist,4.5
5789,Programmer,3.1
5789,Modeller,2.5
5789,Visualiser,1.7
5789,Communicator,1.4
5790,Visualiser,5.4
5790,Data Wrangler,4.5
5790,Technologist,3.9
5790,Programmer,3.5
5790,Modeller,2.4
5790,Communicator,1.8
5791,Programmer,5
5791,Communicator,3.8
5791,Technologist,3.5
5791,Visualiser,3.3
5791,Modeller,2.9
5791,Data Wrangler,2.6
5792,Modeller,4.6
5792,Data Wrangler,3.2
5792,Technologist,3
5792,Visualiser,2.8
5792,Programmer,2.3
5792,Communicator,1.5
5793,Communicator,7
5793,Data Wrangler,5
5793,Visualiser,4.5
5793,Modeller,3.1
5793,Programmer,2.8
5793,Technologist,2
5794,Data Wrangler,4.8
5794,Visualiser,4.5
5794,Programmer,4.1
5794,Modeller,3.7
5794,Technologist,3.3
5794,Communicator,2.4
5795,Data Wrangler,4.6
5795,Technologist,4.4
5795,Visualiser,3.2
5795,Modeller,2.4
5795,Programmer,2.2
5795,Communicator,1.7
5796,Visualiser,5
5796,Programmer,4.4
5796,Data Wrangler,3.5
5796,Technologist,3
5796,Communicator,2.7
5796,Modeller,2.3
5797,Visualiser,4.9
5797,Technologist,4.4
5797,Communicator,3.4
5797,Modeller,3.2
5797,Programmer,3
5797,Data Wrangler,1.7
5798,Visualiser,5.1
5798,Data Wrangler,3.8
5798,Programmer,3.6
5798,Technologist,3.3
5798,Modeller,2.2
5798,Communicator,1.8
5799,Programmer,5.5
5799,Communicator,4.4
5799,Technologist,3.9
5799,Visualiser,3.3
5799,Data Wrangler,2.4
5799,Modeller,2.1
5800,Programmer,6.6
5800,Communicator,4.9
5800,Data Wrangler,4.7
5800,Modeller,4.3
5800,Visualiser,3.4
5800,Technologist,2.8
5801,Visualiser,5.3
5801,Programmer,4.5
5801,Technologist,3.6
5801,Data Wrangler,3.3
5801,Modeller,2.9
5801,Communicator,2.3
5802,Modeller,6.4
5802,Visualiser,4.8
5802,Programmer,4.1
5802,Data Wrangler,3.7
5802,Technologist,3.4
5802,Communicator,3.2
5803,Programmer,5.2
5803,Visualiser,4.6
5803,Data Wrangler,3.9
5803,Communicator,3.4
5803,Modeller,2.4
5803,Technologist,1.6
5804,Communicator,5.4
5804,Visualiser,3.4
5804,Modeller,2.9
5804,Programmer,2.7
5804,Technologist,2.5
5804,Data Wrangler,2.1
5805,Data Wrangler,4.3
5805,Communicator,3.6
5805,Visualiser,3.4
5805,Technologist,3
5805,Modeller,2.1
5805,Programmer,1.9
5806,Visualiser,5
5806,Communicator,4
5806,Data Wrangler,3.2
5806,Modeller,2.2
5806,Technologist,2
5806,Programmer,1.5
5807,Visualiser,5.2
5807,Technologist,4.1
5807,Communicator,3.4
5807,Modeller,3.1
5807,Programmer,2.7
5807,Data Wrangler,1.7
5808,Programmer,5.2
5808,Communicator,4.2
5808,Data Wrangler,3.8
5808,Modeller,3.1
5808,Visualiser,2.9
5808,Technologist,2.3
5809,Programmer,5.5
5809,Modeller,4.4
5809,Visualiser,4.1
5809,Technologist,3.3
5809,Data Wrangler,2.5
5809,Communicator,1.5
5810,Communicator,5.8
5810,Technologist,4.9
5810,Modeller,4.3
5810,Visualiser,2.7
5810,Programmer,2.2
5810,Data Wrangler,2
5811,Modeller,5.2
5811,Programmer,4
5811,Data Wrangler,3.7
5811,Visualiser,3.2
5811,Communicator,2.1
5811,Technologist,1.6
5812,Programmer,5.4
5812,Modeller,4.8
5812,Visualiser,4.2
5812,Technologist,3.5
5812,Data Wrangler,2.6
5812,Communicator,1.8
5813,Technologist,4.6
5813,Visualiser,3.9
5813,Modeller,3.1
5813,Data Wrangler,2.7
5813,Programmer,2.1
5813,Communicator,1.7
5814,Technologist,6.3
5814,Programmer,4.7
5814,Communicator,4.1
5814,Data Wrangler,3.7
5814,Visualiser,2.3
5814,Modeller,1.5
5815,Visualiser,3.6
5815,Programmer,3.1
5815,Technologist,2.8
5815,Data Wrangler,2.5
5815,Communicator,2.1
5815,Modeller,2
5816,Data Wrangler,5.1
5816,Technologist,4
5816,Programmer,3.7
5816,Communicator,2.9
5816,Modeller,2.1
5816,Visualiser,2
5817,Technologist,4.3
5817,Data Wrangler,3.7
5817,Programmer,3.4
5817,Modeller,2.5
5817,Visualiser,2.3
5817,Communicator,1.8
5818,Visualiser,4.9
5818,Data Wrangler,4.6
5818,Technologist,4.2
5818,Communicator,3.7
5818,Modeller,3
5818,Programmer,2.7
5819,Programmer,5.1
5819,Modeller,3.6
5819,Technologist,3.3
5819,Data Wrangler,2.8
5819,Communicator,2.2
5819,Visualiser,1.7
5820,Communicator,4.4
5820,Modeller,4
5820,Data Wrangler,3.2
5820,Visualiser,3.1
5820,Technologist,2.3
5820,Programmer,0.9
5821,Programmer,5.4
5821,Modeller,4
5821,Communicator,3.2
5821,Visualiser,3.1
5821,Data Wrangler,2.4
5821,Technologist,2
5822,Data Wrangler,4.9
5822,Technologist,4.7
5822,Modeller,4.1
5822,Visualiser,3.5
5822,Programmer,3.2
5822,Communicator,2.7
5823,Communicator,5.2
5823,Technologist,4.4
5823,Modeller,3.4
5823,Programmer,3.1
5823,Data Wrangler,2.4
5823,Visualiser,2.3
5824,Data Wrangler,4.6
5824,Technologist,3.9
5824,Visualiser,3.5
5824,Modeller,3.1
5824,Communicator,2.2
5824,Programmer,1.9
5825,Modeller,5.4
5825,Programmer,4.8
5825,Technologist,4.6
5825,Data Wrangler,3.7
5825,Visualiser,3.5
5825,Communicator,3.2
5826,Data Wrangler,5.9
5826,Modeller,4.8
5826,Programmer,4.4
5826,Communicator,3.9
5826,Technologist,2.6
5826,Visualiser,2.1
5827,Modeller,6
5827,Visualiser,4.6
5827,Technologist,4
5827,Programmer,3.4
5827,Data Wrangler,2.3
5827,Communicator,1.8
5828,Communicator,4.8
5828,Visualiser,4.5
5828,Data Wrangler,4
5828,Programmer,3.3
5828,Modeller,3
5828,Technologist,1.5
5829,Technologist,5
5829,Visualiser,4.8
5829,Communicator,4
5829,Programmer,3.3
5829,Data Wrangler,3
5829,Modeller,2.4
5830,Programmer,4.8
5830,Communicator,4.2
5830,Technologist,4
5830,Visualiser,3.7
5830,Data Wrangler,3.2
5830,Modeller,2
5831,Communicator,6.4
5831,Technologist,4.8
5831,Visualiser,3.6
5831,Modeller,2.7
5831,Programmer,2.1
5831,Data Wrangler,1.5
5832,Programmer,4.4
5832,Modeller,4
5832,Technologist,3.7
5832,Data Wrangler,3.2
5832,Visualiser,2.8
5832,Communicator,1.7
5833,Technologist,4.9
5833,Programmer,4
5833,Data Wrangler,3.4
5833,Modeller,3.1
5833,Visualiser,2
5833,Communicator,1.5
5834,Data Wrangler,6
5834,Programmer,5.4
5834,Technologist,4
5834,Modeller,3.7
5834,Communicator,2.7
5834,Visualiser,2
5835,Communicator,5.6
5835,Visualiser,3.2
5835,Modeller,2.9
5835,Data Wrangler,2.5
5835,Technologist,2.3
5835,Programmer,1.4
5836,Communicator,4.8
5836,Technologist,4.3
5836,Visualiser,4
5836,Programmer,3
5836,Data Wrangler,2.7
5836,Modeller,1.7
5837,Modeller,5
5837,Programmer,3.4
5837,Data Wrangler,3.1
5837,Technologist,2.1
5837,Visualiser,1.9
5837,Communicator,1.2
5838,Visualiser,4.2
5838,Data Wrangler,3.4
5838,Modeller,3.1
5838,Programmer,2.6
5838,Communicator,2.1
5838,Technologist,1.2
5839,Data Wrangler,6
5839,Technologist,4.3
5839,Communicator,4
5839,Modeller,3.1
5839,Programmer,2.6
5839,Visualiser,2
5840,Visualiser,5.1
5840,Technologist,4.2
5840,Communicator,3.8
5840,Modeller,3.1
5840,Data Wrangler,2.5
5840,Programmer,2.2
5841,Communicator,5.2
5841,Data Wrangler,3.7
5841,Technologist,3.4
5841,Visualiser,3
5841,Programmer,2.7
5841,Modeller,2.4
5842,Modeller,5
5842,Programmer,4.1
5842,Technologist,3.4
5842,Communicator,2.5
5842,Data Wrangler,2.3
5842,Visualiser,1.9
5843,Communicator,5.2
5843,Modeller,4.6
5843,Programmer,4.2
5843,Data Wrangler,3.3
5843,Technologist,2.2
5843,Visualiser,1.4
5844,Modeller,5
5844,Programmer,4.3
5844,Communicator,3.4
5844,Technologist,3.1
5844,Data Wrangler,2.2
5844,Visualiser,2
5845,Modeller,5
5845,Data Wrangler,3.8
5845,Technologist,3.5
5845,Programmer,3.1
5845,Visualiser,2.8
5845,Communicator,1.4
5846,Communicator,5.4
5846,Data Wrangler,4.9
5846,Modeller,4.7
5846,Visualiser,3.5
5846,Programmer,2.4
5846,Technologist,1.6
5847,Programmer,4.6
5847,Data Wrangler,4.1
5847,Technologist,3.4
5847,Modeller,2.9
5847,Visualiser,2.7
5847,Communicator,2.4
5848,Programmer,4.9
5848,Modeller,4.4
5848,Visualiser,3.9
5848,Communicator,3.1
5848,Data Wrangler,2.9
5848,Technologist,2.5
5849,Technologist,5.4
5849,Modeller,4.9
5849,Programmer,4.7
5849,Visualiser,4.3
5849,Communicator,2.7
5849,Data Wrangler,2.3
5850,Programmer,5.1
5850,Communicator,4.2
5850,Modeller,3.8
5850,Visualiser,3.4
5850,Technologist,3.1
5850,Data Wrangler,2.1
5851,Technologist,4.8
5851,Visualiser,3.8
5851,Data Wrangler,3.3
5851,Programmer,3
5851,Communicator,1.9
5851,Modeller,1.7
5852,Technologist,6.5
5852,Data Wrangler,4.5
5852,Communicator,4
5852,Modeller,3.7
5852,Programmer,3
5852,Visualiser,2.6
5853,Technologist,5.6
5853,Modeller,4.4
5853,Communicator,4
5853,Programmer,3.6
5853,Visualiser,2.5
5853,Data Wrangler,2.2
5854,Communicator,5.8
5854,Data Wrangler,4.3
5854,Visualiser,3.7
5854,Technologist,3.1
5854,Programmer,2
5854,Modeller,1.7
5855,Technologist,4.5
5855,Visualiser,3.3
5855,Data Wrangler,3.1
5855,Communicator,2.5
5855,Programmer,1.9
5855,Modeller,1.4
5856,Communicator,5.4
5856,Technologist,4.1
5856,Modeller,3.4
5856,Data Wrangler,3.1
5856,Programmer,2.5
5856,Visualiser,1.4
5857,Communicator,5.6
5857,Data Wrangler,4.4
5857,Modeller,3.8
5857,Visualiser,3.4
5857,Technologist,3.1
5857,Programmer,2.5
5858,Technologist,5.7
5858,Visualiser,4.8
5858,Communicator,3.4
5858,Data Wrangler,1.8
5858,Modeller,1.6
5858,Programmer,1.5
5859,Modeller,5.8
5859,Communicator,5.1
5859,Visualiser,3.9
5859,Programmer,2.8
5859,Data Wrangler,2
5859,Technologist,1.5
5860,Visualiser,5.2
5860,Modeller,4.4
5860,Communicator,3.6
5860,Programmer,3.2
5860,Technologist,2.4
5860,Data Wrangler,1.8
5861,Visualiser,5.3
5861,Communicator,4.2
5861,Modeller,4
5861,Data Wrangler,3.6
5861,Programmer,2.8
5861,Technologist,2.1
5862,Modeller,4.2
5862,Visualiser,3.6
5862,Technologist,3.3
5862,Communicator,2.4
5862,Programmer,2.2
5862,Data Wrangler,1.7
5863,Technologist,6.2
5863,Data Wrangler,5.5
5863,Programmer,3.7
5863,Communicator,3.2
5863,Visualiser,2.8
5863,Modeller,2.1
5864,Communicator,5.2
5864,Programmer,4.8
5864,Visualiser,4.4
5864,Modeller,3.2
5864,Technologist,3
5864,Data Wrangler,2.3
5865,Modeller,5.4
5865,Communicator,4
5865,Technologist,3.6
5865,Visualiser,3.4
5865,Programmer,3
5865,Data Wrangler,2.3
5866,Data Wrangler,4.4
5866,Visualiser,4
5866,Modeller,3.6
5866,Programmer,3.1
5866,Technologist,2.8
5866,Communicator,2.4
5867,Data Wrangler,5.2
5867,Modeller,4.8
5867,Visualiser,4.2
5867,Communicator,3.2
5867,Programmer,3
5867,Technologist,2.8
5868,Modeller,5.4
5868,Communicator,4.2
5868,Visualiser,3.3
5868,Programmer,3.1
5868,Technologist,2.4
5868,Data Wrangler,2
5869,Visualiser,4.7
5869,Modeller,3.6
5869,Data Wrangler,2.9
5869,Technologist,2.2
5869,Communicator,1.8
5869,Programmer,1.5
5870,Technologist,5.3
5870,Visualiser,4.8
5870,Communicator,4
5870,Programmer,3.5
5870,Modeller,2.2
5870,Data Wrangler,2
5871,Visualiser,4.5
5871,Programmer,3.8
5871,Modeller,3.2
5871,Technologist,2.3
5871,Communicator,2.1
5871,Data Wrangler,1.4
5872,Modeller,5.2
5872,Programmer,4.2
5872,Technologist,3.3
5872,Communicator,2.9
5872,Data Wrangler,2.6
5872,Visualiser,2.4
5873,Communicator,6.4
5873,Data Wrangler,5.5
5873,Programmer,4.4
5873,Visualiser,4
5873,Technologist,3.3
5873,Modeller,1.4
5874,Technologist,5.6
5874,Visualiser,4.4
5874,Communicator,3.8
5874,Programmer,3
5874,Modeller,2.6
5874,Data Wrangler,2
5875,Technologist,4.9
5875,Programmer,4.4
5875,Modeller,3.8
5875,Visualiser,3.1
5875,Communicator,2.6
5875,Data Wrangler,2.4
5876,Programmer,4.5
5876,Communicator,4.2
5876,Data Wrangler,3.7
5876,Technologist,3.5
5876,Visualiser,2.6
5876,Modeller,1.8
5877,Technologist,6.1
5877,Programmer,4.5
5877,Data Wrangler,4
5877,Communicator,3.1
5877,Modeller,2.9
5877,Visualiser,2.3
5878,Modeller,5.4
5878,Data Wrangler,3.7
